Equity issue,day of week,description (from line),Column 4,Column 5
1895-01-03, Saturday,  Father Dawson one of the best known and most respected priante in the Ottawa valley died at Ottawa on Saturday aged 86 years.,,
1895-01-03,Sunday,  enco. Anyone not having these awakening thoughts would Baptietehurch^there on Sunday 30th in,,
1895-01-03,Wednesday,  on Wednesday 19th to Miss Mary Ebert u u . D	A . A.,,
1895-01-03, Tuesday,  Quy<m} Tuesday Jan. Sih.,,
1895-01-03, Thursday,  Shawville Wednesday Jan. 9th. Campbells Bay Thursday Jan. 10th.,,
1895-01-03,Wednesday,  Visits Quyon on second and last Wednesday of very month.,,
1895-01-03,Wednesday,  Will visit Shawville on the first and third Wednesday of every month.,,
1895-01-03,Christmas day,  The members of the Baptist church showed their appreciation of the services of their worthy pastor Rev. J. Medcof by presenting him with a handsome fur coat on the afternoon of Christmas day. The ladies of the congregation went well provided with good things to which all did ample justice. Mr. Medcof was com pletely taken by surprise and replied in a feeling manner.,,
1895-01-03, few day,  the last few days.,,
1895-01-03, Tuesday,  The daily mail between here and Otter Like began on Tuesday last with Mr. Samuel Howes a* courier.,,
1895-01-03,Sunday,  given in that city on Sunday nights	indigestion. He came north after residing	Canada patent July 17th 1894.,,
1895-01-03, Monday,  meeting to be held on Monday January I ^ falsehood (hie little word of three let-7th to examine and homologate the pro eril) but he forgets that hie article I,,
1895-01-03,Sunday,  The British barque Oaateao was wrecked in a gale at Holyhead on Sunday morn Her entire crew of twenty-six men,,
1895-01-03, Friday,  Mr. John R. Young returned home Friday evening from the Hospital in Ottawa very little improved but seems better since.	,,
1895-01-03,Sunday,  Mr. Andrew Richards of Billerica spent Sunday here.,,
1895-01-03, few day,  Mr. W. Finlan and sister Miss Mary spent a few days in Renfrew last week.,,
1895-01-03,holiday,  The Misses Fiulan are home for their holidays.,,
1895-01-03, few day,  Mr. F. S. Roy is spending a few days,,
1895-01-03, few day,  Mr. Alex. Stewart returned home a few days ago and intends remaining with us. **	x;,,
1895-01-03, few day,  Miss Grace McKechnie spent a few days in Eiinside last week.,,
1895-01-03, Saturday,  Model school spent Saturday in this vi-,,
1895-01-03, Monday,  Saturday night saw one at Monday night we,,
1895-01-03, Saturday,  Saturday night saw one at Monday night we,,
1895-01-03, few day,  Lmd Randolph Churchill returned to England a few days ago a physical and mental w refit. He is a victim of paralysed has been given only a month to,,
1895-01-10, Tuesday,  Mr. B. McGrath school inspector was town on Monday and Tuesday last,,
1895-01-10, Monday,  Mr. Borthwick was elected mayor of Ottawa on Monday over Mr. Cluff.,,
