"","words","term.freq","doc.freq"
"1","father",0,0
"2","dawson",1,1
"3","respected",2,2
"4","priante",1,1
"5","ottawa",51,44
"6","valley",4,3
"7","died",33,33
"8","saturday",112,111
"9","aged",12,11
"10","years",39,39
"11","enco",1,1
"12","awakening",1,1
"13","thoughts",0,0
"14","baptietehurch",1,1
"15","sunday",96,92
"16","wednesday",82,82
"17","miss",16,16
"18","mary",4,4
"19","ebert",1,1
"20","quy",1,1
"21","tuesday",82,81
"22","jan",2,1
"23","sih",1,1
"24","shawville",7,7
"25","campbells",3,3
"26","bay",13,13
"27","thursday",77,77
"28","visits",1,1
"29","quyon",10,9
"30","month",28,27
"31","visit",19,19
"32","members",11,11
"33","baptist",2,2
"34","church",27,25
"35","showed",2,2
"36","appreciation",1,1
"37","services",5,5
"38","worthy",2,2
"39","pastor",2,2
"40","rev",13,13
"41","medcof",2,1
"42","presenting",1,1
"43","handsome",1,1
"44","fur",5,5
"45","coat",1,1
"46","afternoon",30,30
"47","christmas",3,2
"48","day",81,78
"49","ladies",5,5
"50","congregation",1,1
"51","provided",4,4
"52","good",14,14
"53","things",3,3
"54","ample",3,3
"55","justice",3,3
"56","pletely",1,1
"57","surprise",1,1
"58","replied",1,1
"59","feeling",1,1
"60","manner",3,3
"61","days",48,46
"62","daily",1,1
"63","mail",8,8
"64","otter",7,7
"65","began",1,1
"66","samuel",3,3
"67","howes",1,1
"68","courier",1,1
"69","city",12,12
"70","nights",0,0
"71","indigestion",2,2
"72","north",7,6
"73","residing",4,4
"74","canada",14,13
"75","patent",2,2
"76","july",8,4
"77","meeting",27,26
"78","held",33,32
"79","monday",73,73
"80","january",6,6
"81","falsehood",1,1
"82","hie",23,22
"83","word",2,2
"84","examine",1,1
"85","homologate",1,1
"86","pro",6,6
"87","eril",1,1
"88","forgets",1,1
"89","article",1,1
"90","british",12,12
"91","barque",1,1
"92","oaateao",1,1
"93","wrecked",2,2
"94","gale",3,3
"95","holyhead",0,0
"96","morn",2,2
"97","entire",3,3
"98","crew",2,2
"99","twenty-six",1,1
"100","men",20,18
"101","john",24,23
"102","young",19,19
"103","returned",15,15
"104","home",24,24
"105","friday",91,90
"106","evening",56,54
"107","hospital",3,3
"108","improved",2,2
"109","andrew",4,4
"110","richards",2,2
"111","billerica",2,2
"112","spent",21,21
"113","finlan",1,1
"114","sister",6,5
"115","renfrew",7,7
"116","week",36,30
"117","misses",4,4
"118","fiulan",1,1
"119","holidays",1,1
"120","roy",0,0
"121","spending",9,9
"122","alex",2,2
"123","stewart",5,5
"124","ago",18,18
"125","intends",3,3
"126","remaining",2,2
"127","grace",2,2
"128","mckechnie",1,1
"129","eiinside",1,1
"130","model",3,3
"131","school",20,18
"132","night",60,57
"133","lmd",1,1
"134","randolph",2,2
"135","churchill",2,2
"136","england",7,6
"137","physical",1,1
"138","mental",1,1
"139","refit",0,0
"140","victim",2,2
"141","paralysed",1,1
"142","mcgrath",0,0
"143","inspector",3,3
"144","town",12,12
"145","borthwick",1,1
"146","elected",7,6
"147","mayor",6,5
"148","cluff",0,0
"149","carleton",1,1
"150","place",31,30
"151","morning",42,42
"152","montreal",26,25
"153","eek",1,1
"154","ervlm",1,1
"155","rendered",1,1
"156","numbers",1,1
"157","board",11,11
"158","juyon",1,1
"159","ire",1,1
"160","wlth",2,2
"161","iheir",1,1
"162","daughter",4,4
"163","martin",1,1
"164","equal",1,1
"165","hon",10,9
"166","henry",3,3
"167","starnes",1,1
"168","speaker",2,2
"169","legislative",3,3
"170","council",13,11
"171","stricken",1,1
"172","paralysis",1,1
"173","whilst",5,5
"174","seat",2,2
"175","house",22,22
"176","latest",3,3
"177","reports",3,3
"178","give",10,10
"179","condition",8,7
"180","undersigned",4,4
"181","directors",3,3
"182","hawvllle",1,1
"183","rrihere",1,1
"184","wpl",1,1
"185","offered",3,3
"186","male",1,1
"187","public",9,9
"188","auction",3,3
"189","rumhcii",1,1
"190","lhe",3,3
"191","march",12,12
"192","htk",1,1
"193","o'clock",11,10
"194","pine",1,1
"195","hpruce",1,1
"196","quebec",8,8
"197","legislature",10,9
"198","expected",6,6
"199","to-prorogue",1,1
"200","huraday",0,0
"201","selected",1,1
"202","basis",1,1
"203","tinetc",1,1
"204","friends",11,11
"205","adorn",1,1
"206","annal",1,1
"207","liven",1,1
"208","sbawvlile",0,0
"209","thirty-first",1,1
"210","december",6,6
"211","early",6,6
"212","family",8,8
"213","lynched",1,1
"214","georgia",0,0
"215","uary",1,1
"216","hodgini",1,1
"217","mrs",37,33
"218","a.w",1,1
"219","smith",2,2
"220","break",1,1
"221","road",6,5
"222","bryson",9,9
"223","fra",1,1
"224","ln.witidl",1,1
"225","ire.pondenceprompt",1,1
"226","clarendon",10,10
"227","brownlee",3,3
"228","joseph",3,3
"229","oraveile",1,1
"230","thoe",1,1
"231","fiait",0,0
"232","radford",3,3
"233","return",3,3
"234","village",15,15
"235","quietly",1,1
"236","piobon",1,1
"237","time",20,20
"238","imminent",1,1
"239","bhawvllle",1,1
"240","carefully",3,3
"241","dry",3,3
"242","or.t",1,1
"243","dressed",1,1
"244","performed",2,2
"245","heme",1,1
"246","weri",1,1
"247","chinese",4,3
"248","northern",4,4
"249","drew",1,1
"250","tilbury",0,0
"251","dead",8,8
"252","manitoba",9,9
"253","called",7,7
"254","dunnigan",1,1
"255","buffalo",2,2
"256","overwhelmed",1,1
"257","avalanche",1,1
"258","despatch",7,7
"259","buelneee",1,1
"260","diphtheria",2,2
"261","anti-toxins",1,1
"262","failed",1,1
"263","cure",2,2
"264","itroyed",1,1
"265","houses",1,1
"266","twelve",3,3
"267","barns",1,1
"268","anti-toxine",1,1
"269","remedy",1,1
"270","poit-office",1,1
"271","heart",4,4
"272","cincinnati",1,1
"273","oide",1,1
"274","dayeagoia",1,1
"275","mostsxtraordinary",1,1
"276","ltraw",1,1
"277","pressed",1,1
"278","firmly",1,1
"279","pos",1,1
"280","proved",2,2
"281","successful",3,3
"282","cases",3,3
"283","chat",1,1
"284","escaped",3,3
"285","money",13,13
"286","broke",3,3
"287","large",18,17
"288","panes",1,1
"289","ditional",1,1
"290","protection",3,3
"291","piece",5,5
"292","ham",1,1
"293","ont",10,10
"294","physicians",1,1
"295","pronounce",1,1
"296","hierarchy",1,1
"297","united",11,11
"298","states",10,10
"299","glass",3,3
"300","window",1,1
"301","room",7,7
"302","hole",2,1
"303","fits",1,1
"304","great",19,19
"305","success",4,4
"306","taking",9,9
"307","decided",7,7
"308","etepi",1,1
"309","reduce",1,1
"310","roman",1,1
"311","placing",1,1
"312","inn",1,1
"313","head",2,2
"314","closely",1,1
"315","pump",1,1
"316","handle",1,1
"317","william",17,16
"318","cremer",1,1
"319","m.p.will",1,1
"320","leave",3,3
"321","ietter",1,1
"322","written",4,4
"323","louis",2,2
"324","steven-england",1,1
"325","memorial",1,1
"326","shortly",5,5
"327","prior",5,5
"328","math",1,1
"329","expressed",3,3
"330","signed",2,2
"331","hundred",13,13
"332","forty-five",1,1
"333","opinion",2,2
"334","samoan",1,1
"335","houss",1,1
"336","commons",5,4
