Equity issue, day of week, description (from line)
1895-01-03, Saturday,  Father Dawson one of the best known and most respected priante in the Ottawa valley died at Ottawa on Saturday aged 86 years.
1895-01-03, Sunday,  enco. Anyone not having these awakening thoughts would Baptietehurch^there on Sunday 30th in
1895-01-03, Wednesday,  on Wednesday 19th to Miss Mary Ebert u u . D	A . A.
1895-01-03, Tuesday,  Quy<m} Tuesday Jan. Sih.
1895-01-03, Thursday,  Shawville Wednesday Jan. 9th. Campbells Bay Thursday Jan. 10th.
1895-01-03, Wednesday,  Visits Quyon on second and last Wednesday of very month.
1895-01-03, Wednesday,  Will visit Shawville on the first and third Wednesday of every month.
1895-01-03, Christmas day,  The members of the Baptist church showed their appreciation of the services of their worthy pastor Rev. J. Medcof by presenting him with a handsome fur coat on the afternoon of Christmas day. The ladies of the congregation went well provided with good things to which all did ample justice. Mr. Medcof was com pletely taken by surprise and replied in a feeling manner.
1895-01-03, few day,  the last few days.
1895-01-03, Tuesday,  The daily mail between here and Otter Like began on Tuesday last with Mr. Samuel Howes a* courier.
1895-01-03, holiday,  the holidays with her parents. 4
1895-01-03, next day,  The next day was the time appointed for a general council of war but while the council of war was proceeding the Chinese began to realize that the Japanese had established their mountain batteries on the hills commanding the left centre of the Chinese position and decided to advance out of Port Arthur and dislodge them. Ihen began
1895-01-03, every day,  animal I aim to feed the cows what sugar time beets they will eat up clean. The brood bows get a few roots every day and seem to eat and relish them as well as grain.
1895-01-03, Sunday,  given in that city on Sunday nights	indigestion. He came north after residing	Canada patent July 17th 1894.
1895-01-03, ten day,  No person shall injure or obstruct any fishway or do anything to deter or hinder fish from entering and ascending or descending the same or injure or obstruct any authorised dam under a penalty for each offence of not less than $2 nor more than |20 and an imprisonment of not less than two nor more than ten days in de fault of payment over and above all
1895-01-03, fifteen day,  Mr. Flynn's bill to amend the law respecting woods and forests oil public lands has in view the object of shortening to fifteen days the time necessary in giving notice of sale in seizure of timber limits by the Crown after remaining for two months in the custody of the agent or
1895-01-03, Monday,  meeting to be held on Monday January I ^ falsehood (hie little word of three let-7th to examine and homologate the pro eril) but he forgets that hie article I
1895-01-03, Sunday,  The British barque Oaateao was wrecked in a gale at Holyhead on Sunday morn Her entire crew of twenty-six men
1895-01-03, few day,  most of their liberty and filling tho apera- Persia Manchuria and Korea and as mat- departed. He came back in a few days ^owed when Pr0?e were good a larger ^
1895-01-03, Friday,  Mr. John R. Young returned home Friday evening from the Hospital in Ottawa very little improved but seems better since.	
1895-01-03, Sunday,  Mr. Andrew Richards of Billerica spent Sunday here.
1895-01-03, few day,  Mr. W. Finlan and sister Miss Mary spent a few days in Renfrew last week.
