Equity issue,Day,Description,Section,Type,
1895-01-03,21-Dec,  A very successful entertainment was held in Stark's school house on the evening of the 21st. The program consisted of dialogue  recitations and singing. ,Parkman notes,event,
1895-01-03, Monday, Public notice is hereby given to all owners of real estate and resident house holders of the municipality of the village of Shawville that a meeting of the municipal electors will be held in the council Hall on Monday the 14th day of January 1895 at the hour of ten o'clock in the forenoon to proceed with the election of three councillors in the room and stead of James Prendergast Thos. Dale and John Lester whose term of office has expired., public notice,event,
1895-01-03, Monday, Public notice is hereby that a public meeting of the proprietors of real estate and resident house holders of this municipality  that a meeting of the municipal electors will be held in the town hall in the village of one thousand eight hundred and nintety-five at the hour of ten o'clock in the morning to proceed with the election of two councillors in the room and stead of Jphn Murray and James Wilson whose terms of office have expired., public notice,event,
1895-01-03, Monday, three hundred Cedars (300) delivered at the Town Hall Shawville or on the repspective spots where they may be wanted. Tenders will be revieved up to 10 a.m. of the 1st Monday in January 1895 for the whole or any part thereof, public notice,event,
1895-01-03,Christmas,  The members of the Baptist church showed their appreciation of the services of their worthy pastor Rev. J. Medcof by presenting him with a handsome fur coat on the afternoon of Christmas day. The ladies of the congregation went well provided with good things to which all did ample justice. Mr. Medcof was com pletely taken by surprise and replied in a feeling manner.,Parkman notes,church,
1895-01-03,Christmas,Mr. and Mrs. Ed. Graham entertained quite a number of invited guests Xmas night.,Elmside notes,event,
1895-01-03,Christmas,The members of Prospect Lodge invited the Victoria Lodge to attend their meeting on Christmas night.,Parkman notes,event,
1895-01-03,n/a, Miss Holton of Belleville is spending a  few days here the guest of Miss McAllister, Quyon,arrival,
1895-01-03,Friday,Miss L. Black left off school on Friday for two month's holidays and is visiting at Mrs. John Bradley's.,Greer Mount notes,arrival,
1895-01-03,Friday,  Mr. John R. Young returned home Friday evening from the Hospital in Ottawa very little improved but seems better since.,Elmside notes,arrival,
1895-01-03,Friday, Mr. Andrew Grant arrived home on Friday night accompanied my Miss J. McPherson of Almonte., Elmside notes,arrival,
1895-01-03,Monday,  Mr. William Shaw has removed his household effects to Ottawa where he intends residing for the future.,Local and general,departure,
1895-01-03,Monday, Public notice is hereby given that it is the intention of the Municipal Council of the Township of Bristol to examine and honologate at its sittings in the townhall on Monday the 7th day of January 1895 at the hour of ten in the forenoon the Proces Verbal of the old Ragged CHute Road ordered by resolution of the Council on Monday the 5th day of November 1894., public notice,event,
1895-01-03,Monday,A very pleasant time was spent at the home of Mr. Richard Hynes on Monday evening last. The guests began to assemble about 7 o'clock and continued coming until a goodly number were present. Games of all kinds were indulged in; music and singing was also a favourite passtime of the evening whilst others seem to enjoy very much the sweet tones of the hand-organ. As the New Year was ushering in  the guests were doing justice to a large variety of choice refreshments. Supper being ended wishes for a bright and happy new year retired to their respective homes went on for a short time. Then the young folks having recieved and given many good , Clarendon front notes,event, 
1895-01-03,Monday, The remains of the late widow Sinclair were interred in the Anglican burial ground here on Monday, Local and General,death,
1895-01-03,n/a,Mr. and Mrs. Alex Bell of Sturgeon Falls Ont. Are spending the holidays with friends in N.O. and Quyon.,North Onslow notes,arrival,
1895-01-03,n/a,Mr. John Turner left again last week for the west. ,North Onslow notes,departure,
1895-01-03,n/a,At M. Kane's has arrived a boy visitor whom I hear intends to stay.,North Onslow notes,arrival,
1895-01-03,n/a,Men and teams are leaving for the woods daily.,North Onslow notes,departure,
1895-01-03,n/a,Mr. P. Kane of Hazelhurst Wis. Arrived home last week and intends remaining for the winter months.,North Onslow notes,arrival,
1895-01-03,n/a,"Mr. F. Hearty spent the holidays with friends in Vinton. Welcome back F. how ""she"" missed you.",North Onslow notes,arrival,
1895-01-03,n/a,  Mr. J.H. Brownlee wishes to announce that the Shawville skating rink is now running and will be open every week night (except Fridays) weather permitting during the season. A carnival will be held in the near future regarding which posters will be issued in a day or two.,Local and General,event,
1895-01-03,n/a,Revival meetings are going on here now at Craig's Church.,Greer Mount notes,church,
1895-01-03,n/a,Miss Maggie Martin is visiting at Mrs. J. Bradley's.,Greer Mount notes,arrival,
