Equity issue,Day,Description,Section,Type,
1895-01-03,21-Dec,  A very successful entertainment was held in <LOCATION>Stark</LOCATION>'s school house on the evening of the 21st. The program consisted of dialogue  recitations and singing. ,<PERSON>Parkman</PERSON> notes,event,
1895-01-03, Monday, Public notice is hereby given to all owners of real estate and resident house holders of the municipality of the village of <LOCATION>Shawville</LOCATION> that a meeting of the municipal electors will be held in the council Hall on Monday the 14th day of January 1895 at the hour of ten o'clock in the forenoon to proceed with the election of three councillors in the room and stead of <PERSON>James Prendergast Thos</PERSON>. <PERSON>Dale</PERSON> and <PERSON>John Lester</PERSON> whose term of office has expired., public notice,event,
1895-01-03, Monday, Public notice is hereby that a public meeting of the proprietors of real estate and resident house holders of this municipality  that a meeting of the municipal electors will be held in the town hall in the village of one thousand eight hundred and nintety-five at the hour of ten o'clock in the morning to proceed with the election of two councillors in the room and stead of <PERSON>Jphn Murray</PERSON> and <PERSON>James Wilson</PERSON> whose terms of office have expired., public notice,event,
1895-01-03, Monday, three hundred Cedars (300) delivered at the <LOCATION>Town Hall Shawville</LOCATION> or on the repspective spots where they may be wanted. Tenders will be revieved up to 10 a.m. of the 1st Monday in January 1895 for the whole or any part thereof, public notice,event,
1895-01-03,Christmas,  The members of the Baptist church showed their appreciation of the services of their worthy pastor Rev. <PERSON>J. Medcof</PERSON> by presenting him with a handsome fur coat on the afternoon of Christmas day. The ladies of the congregation went well provided with good things to which all did ample justice. Mr. <PERSON>Medcof</PERSON> was com pletely taken by surprise and replied in a feeling manner.,<PERSON>Parkman</PERSON> notes,church,
1895-01-03,Christmas,Mr. and Mrs. <PERSON>Ed</PERSON>. <PERSON>Graham</PERSON> entertained quite a number of invited guests Xmas night.,Elmside notes,event,
1895-01-03,Christmas,The members of <ORGANIZATION>Prospect Lodge</ORGANIZATION> invited the <LOCATION>Victoria Lodge</LOCATION> to attend their meeting on Christmas night.,<PERSON>Parkman</PERSON> notes,event,
1895-01-03,n/a, Miss <PERSON>Holton</PERSON> of <LOCATION>Belleville</LOCATION> is spending a  few days here the guest of Miss <PERSON>McAllister</PERSON>, <LOCATION>Quyon</LOCATION>,arrival,
1895-01-03,Friday,<PERSON>Miss L. Black</PERSON> left off school on Friday for two month's holidays and is visiting at Mrs. <PERSON>John Bradley</PERSON>'s.,<LOCATION>Greer Mount</LOCATION> notes,arrival,
1895-01-03,Friday,  Mr. <PERSON>John R. Young</PERSON> returned home Friday evening from the Hospital in <LOCATION>Ottawa</LOCATION> very little improved but seems better since.,Elmside notes,arrival,
