place	coordinates
Shawville	45.608661,-76.496364
Shawville	45.608661,-76.496364
Quyon	45.520207,-76.235760
Greer Mount	45.757200,-76.468862
Ottawa	45.417490,-75.696392
Ottawa	45.417490,-75.696392
Bristol	45.531557,-76.457757
North Onslow	45.598476,-76.277510
Hazelhurst Wis	45.807341,-89.725232
Greer Mount	45.757200,-76.468862
Greer Mount	45.757200,-76.468862
Quyon	45.520207,-76.235760
Eardley	45.551848,-76.099264
Portage du Fort	45.597848,-76.662380
Bristol	45.531557,-76.457757
Bristol	45.531557,-76.457757
Bristol	45.531557,-76.457757
Ottawa	45.417490,-75.696392
Edmonton	53.537191,-113.498794
Calumet Island	45.729139,-76.610322
Arnprior	45.434097,-76.352244
Elmside	45.530575,-76.397317
Renfrew	45.475722,-76.686928
Elmside	45.530575,-76.397317
Pembroke	45.827031,-77.109943
Ottawa	45.417490,-75.696392
Pembroke	45.827031,-77.109943
Bryson	45.679066,-76.621907
Ottawa	45.417490,-75.696392
Listowel	43.732673,-80.952502
Shawville	45.608661,-76.496364
Greer Mount	45.757200, -76.468862
Shawville	45.608661,-76.496364
Shawville	45.608661,-76.496364
Shawville	45.608661,-76.496364
Shawville	45.608661,-76.496364
Shawville	45.608661,-76.496364
Litchfield	45.650362,-76.620309
Litchfield	45.650362,-76.620309
Ottawa	45.417490,-75.696392
Almonte	45.224700,-76.194441
Shawville	45.608661,-76.496364
Carthage	43.980068,-75.606977
Addison	44.660599,-75.884010
Mattawa	46.316942,-78.702338
Bryson	45.679066,-76.621907
Montreal	45.497088,-73.562806
Clarendon	45.644501,-76.520919
Belleville	44.161631,-77.383209
Ottawa	45.417490,-75.696392
Shawville	45.608661,-76.496364
North Onslow	45.598476,-76.277510
Portage du Fort	45.597848,-76.662380
North Clarendon	45.701131,-76.497146
Quyon	45.520207,-76.235760
Quyon	45.520207,-76.235760
St. Paul	45.985194,-73.445753
Shawville	45.608661,-76.496364
Otter Lake	45.848544,-76.430077
Shawville	45.608661,-76.496364
Clarendon	45.644501,-76.520919
Clarendon	45.644501,-76.520919
North Onslow	45.598476,-76.277510
Pembroke	45.827031,-77.109943
Quyon	45.520207,-76.235760
Quyon	45.520207,-76.235760
Ottawa	45.417490,-75.696392
Carleton Place	45.139432,-76.145670
Europe	48.850077,2.348766
Maryland	42.536624,-74.887444
Quyon	45.520207,-76.235760
Quyon	45.520207,-76.235760
Shawville	45.608661,-76.496364
Greer Mount	45.757200,-76.468862
Bristol	45.531557,-76.457757
